Country,Year,Trade_export,Rank_export,Trade_import,Rank_import,Net_trade,Rank_net_trade,Confirmed,Deaths,Recovered,Active,Rank_covid,Potential
United States,2019,45311700000,4,59712562000,2,-14400862000,83,1467820,88754,268376,1111939,1,FALSE
United Kingdom,2019,5983817000,19,12073397000,11,-6089580000,79,241461,34546,1058,205857,2,FALSE
Brazil,2019,1815344000,29,2007679000,30,-192335000,61,233511,15662,89672,128177,3,FALSE
France,2019,5423444000,21,16593011000,8,-11169567000,82,179630,27532,60562,91536,4,FALSE
Italy,2019,1050615000,39,5657158000,21,-4606543000,75,224760,31763,122810,70187,5,FALSE
Peru,2019,73710000,69,23341000,75,50369000,43,88541,2523,28272,57746,6,FALSE
Spain,2019,819429000,41,1598279000,32,-778850000,69,230698,27563,146446,56689,7,FALSE
India,2019,15608198000,12,8685506000,17,6922692000,7,90648,2871,34224,53553,8,FALSE
Netherlands,2019,11722818000,14,4270120000,25,7452698000,6,44070,5689,167,38214,9,FALSE
Canada,2019,1537240000,33,2698098000,29,-1160858000,70,77206,5800,37832,33574,10,FALSE
Belgium,2019,6091822000,18,1748568000,31,4343254000,9,54989,9005,14460,31524,11,FALSE
Saudi Arabia,2019,1300144000,37,11455218000,12,-10155074000,80,52016,302,23666,28048,12,FALSE
Qatar,2019,1313984000,35,7327200000,19,-6013216000,78,30972,15,3788,27169,13,FALSE
Pakistan,2019,1304302000,36,109233000,62,1195069000,21,38799,834,10880,27085,14,FALSE
Ecuador,2019,106918000,67,21515000,76,85403000,37,32763,2688,3433,26642,15,FALSE
Portugal,2019,712405000,43,470585000,45,241820000,32,28810,1203,3822,23785,16,FALSE
Chile,2019,146875000,64,82611000,66,64264000,39,41428,421,18014,22993,17,FALSE
Sweden,2019,297039000,55,1550301000,34,-1253262000,71,29677,3674,4971,21032,18,FALSE
Iran (Islamic Republic Of),2019,37657000,76,5392000,82,32265000,47,118392,6937,93147,18308,20,TRUE
Bangladesh,2019,4166847000,24,316550000,49,3850297000,12,20995,314,4117,16564,21,TRUE
"Germany, Federal Republic Of",2019,7973277000,16,13516465000,10,-5543188000,77,175752,7938,152600,15214,22,TRUE
